㔶	kong
一千三百万斤	yi qien san ba wan jin
一千三百三十九家	yi qien san ba san si jiu ga
一千三百三十五卷	yi qien san ba san si ng jon
一千三百个	yi qien san ba go
一千三百余	yi qien san ba yu
一千三百余名	yi qien san ba yu miang
一千三百六十二年	yi qien san ba liu si e nien
一千三百名	yi qien san ba miang
一千三百多个	yi qien san ba do go
一千三百多年	yi qien san ba do nien
一千三百文	yi qien san ba wen
一千三百零八公里	yi qien san ba liang bai gung li
一千两	yi qien yong
一千两千	yi qien yong qien
一千两百	yi qien yong ba
一千个	yi qien go
一千九百个	yi qien jiu ba go
一千九百余	yi qien jiu ba yu
一千九百八十门	yi qien jiu ba bai si men
一千二	yi qien e
一千二三百	yi qien e san ba
一千二百	yi qien e ba
一千二百七十二处	yi qien e ba qi si e qyu
一千二百万	yi qien e ba wan
一千二百万元	yi qien e ba wan yon
一千二百两	yi qien e ba yong
一千二百九十七所	yi qien e ba jiu si qi so
一千二百亩	yi qien e ba meu
一千二百余种	yi qien e ba yu jiung
一千二百元	yi qien e ba yon
一千二百八十三家	yi qien e ba bai si san ga
一千二百名	yi qien e ba miang
一千二百块	yi qien e ba kuai
一千二百多	yi qien e ba do
一千二百多万	yi qien e ba do wan
一千二百多年	yi qien e ba do nien
一千二百多座	yi qien e ba do co
一千二百多种	yi qien e ba do jiung
一千二百户	yi qien e ba fu
一千二百株	yi qien e ba jyu
一千二百里	yi qien e ba li
一千五	yi qien ng
一千五百	yi qien ng ba
一千五百万	yi qien ng ba wan
一千五百两	yi qien ng ba yong
一千五百件	yi qien ng ba qien
一千五百余	yi qien ng ba yu
一千五百余处	yi qien ng ba yu qyu
一千五百余家	yi qien ng ba yu ga
一千五百余箱	yi qien ng ba yu xiong
一千五百元	yi qien ng ba yon
一千五百名	yi qien ng ba miang
一千五百块	yi qien ng ba kuai
一千五百多	yi qien ng ba do
一千五百多个	yi qien ng ba do go
一千五百多名	yi qien ng ba do miang
一千五百多处	yi qien ng ba do qyu
一千五百家	yi qien ng ba ga
一千五百年	yi qien ng ba nien
一千五百文	yi qien ng ba wen
一千五百米	yi qien ng ba mi
一千五百辆	yi qien ng ba liong
一千五百里	yi qien ng ba li
一千亩	yi qien meu
一千亿	yi qien yi
一千亿港元	yi qien yi gong yon
一千件	yi qien qien
一千份	yi qien fen
一千余	yi qien yu
一千余万两	yi qien yu wan yong
一千余万元	yi qien yu wan yon
一千余万斤	yi qien yu wan jin
一千余匹	yi qien yu pi
一千余名	yi qien yu miang
一千余年	yi qien yu nien
一千余里	yi qien yu li
一千余页	yi qien yu ye
一千倍	yi qien pi
一千元	yi qien yon
一千八九百文	yi qien bai jiu ba wen
一千八声	yi qien bai xiang
一千八百	yi qien bai ba
一千八百万吨	yi qien bai ba wan den
一千八百余	yi qien bai ba yu
一千八百余名	yi qien bai ba yu miang
一千八百八十余个	yi qien bai ba bai si yu go
一千八百多块	yi qien bai ba do kuai
一千八百多年	yi qien bai ba do nien
一千公里	yi qien gung li
一千六	yi qien liu
一千六百	yi qien liu ba
一千六百万镑	yi qien liu ba wan bong
一千六百五十	yi qien liu ba ng si
一千六百元	yi qien liu ba yon
一千六百八十五部	yi qien liu ba bai si ng pu
一千六百四十三所	yi qien liu ba su si san so
一千六百多文	yi qien liu ba do wen
一千几百	yi qien ji ba
一千刀	yi qien dau
一千分	yi qien fen
一千包	yi qien bau
一千匹	yi qien pi
一千卷	yi qien jon
一千句	yi qien jyu
一千只	yi qien zi
一千名	yi qien miang
一千吨	yi qien den
一千员	yi qien yon
一千四五百文	yi qien su ng ba wen
一千四百	yi qien su ba
一千四百多	yi qien su ba do
一千四百多年	yi qien su ba do nien
一千块	yi qien kuai
一千声	yi qien xiang
一千处	yi qien qyu
一千多	yi qien do
一千多万	yi qien do wan
一千多个	yi qien do go
一千多亿颗	yi qien do yi ko
一千多元	yi qien do yon
一千多公里	yi qien do gung li
一千多匹	yi qien do pi
一千多只	yi qien do zi
一千多名	yi qien do miang
一千多吨	yi qien do den
一千多块	yi qien do kuai
一千多家	yi qien do ga
一千多年	yi qien do nien
一千多度	yi qien do tu
一千多米	yi qien do mi
一千多遍	yi qien do pien
一千多部	yi qien do pu
一千多里	yi qien do li
一千多顷	yi qien do qin
一千天	yi qien tien
一千头	yi qien teu
一千家	yi qien ga
一千岁	yi qien xi
一千左右	yi qien zo yiu
一千平方公里	yi qien piang fong gung li
一千年	yi qien nien
一千度	yi qien tu
一千户	yi qien fu
一千把	yi qien bai
一千招	yi qien zeu
一千文	yi qien wen
一千斤	yi qien jin
一千有余	yi qien yiu yu
一千本	yi qien ben
一千条	yi qien tieu
一千架	yi qien ga
一千次	yi qien cu
一千步	yi qien pu
一千点	yi qien dien
一千碗	yi qien won
一千箱	yi qien xiong
一千美元	yi qien mi yon
一千遍	yi qien pien
一千部	yi qien pu
一千里	yi qien li
一千间	yi qien gan
一千零一夜	yi qien liang yi ya
一千零七	yi qien liang qi
一千零二十	yi qien liang e si
一千零二十四锭	yi qien liang e si su tiang
一千零五	yi qien liang ng
一千零六	yi qien liang liu
一千零六十三卷	yi qien liang liu si san jon
一千零六十六公里	yi qien liang liu si liu gung li
一千顷	yi qien qin
一半	yi bon
一半一半	yi bon yi bon
一半儿	yi bon e
一半分	yi bon fen
一半则	yi bon ze
一半处	yi bon qyu
一半多	yi bon do
一半多一点	yi bon do yi dien
一半左右	yi bon zo yiu
一半折	yi bon ze
一半摊	yi bon tan
一半站	yi bon zan
一半脸	yi bon lien
一半路	yi bon lu
一华里	yi fa li
一卡通	yi ka teng
一卧不起	yi ngo bei qi
一卷	yi jon
一压下	yi nga ha
一压到	yi nga dau
一压在	yi nga coi
一厘	yi li
一厢	yi xiong
一厢情愿	yi xiong qin yon
一去一来	yi qie yi loi
一去不回	yi qie bei fi
一去不复	yi qie bei fu
一去不复返	yi qie bei fu fan
一去不复返了	yi qie bei fu fan li
一去不返	yi qie bei fan
一友	yi yiu
一双	yi song
一双两好	yi song yong hau
一双千层	yi song qien ceng
一双半	yi song bon
一双双	yi song song
一双双手	yi song song seu
一双多	yi song do
一双夜	yi song ya
一双家	yi song ga
一双滴	yi song di
一双点	yi song dien
一双眼	yi song ngan
一反其道	yi fan qi tau
一反常态	yi fan qiong toi
一反既往	yi fan ji wong
一发	yi fai
一发不可	yi fai bei kie
一发不可收	yi fai bei kie seu
一发千钧	yi fai qien jyun
一发发	yi fai fai
一发破的	yi fai po de
一发而不可收	yi fai e bei kie seu
一发而不可收拾	yi fai e bei kie seu si
一叠	yi die
一叠叠	yi die die
一口	yi kieu
一口一声	yi kieu yi xiang
一口三舌	yi kieu san se
一口两匙	yi kieu yong si
一口价	yi kieu ga
一口口	yi kieu kieu
一口同声	yi kieu teng xiang
一口同音	yi kieu teng yin
一口咬定	yi kieu ngau tiang
一口气	yi kieu qi
一口泉	yi kieu qon
一口袋	yi kieu toi
一口钟	yi kieu jiung
一古脑	yi gu lau
一古脑儿	yi gu lau e
一句	yi jyu
一句句	yi jyu jyu
一只	yi jia
一台	yi toi
一右	yi yiu
一叶	yi ye
一叶扁舟	yi ye bien zeu
一叶报秋	yi ye bau qiu
一叶知秋	yi ye zi qiu
一叶荻	yi ye di
一叶蔽目	yi ye bi mu
一叶迷山	yi ye mi san
一叶障目	yi ye jiong mu
一号	yi hau
一号机	yi hau ji
一号线	yi hau xien
一号通	yi hau teng
一同	yi teng
一名	yi miang
一后	yi heu
一吐为快	yi tu wei kuai
一向	yi xiong
一向如此	yi xiong lu cu
一吠百声	yi fi ba xiang
一吨	yi den
一吨半	yi den bon
一听之下	yi tiang zi ha
一员	yi yon
一员大将	yi yon tai jiong
一周	yi zeu
一周岁	yi zeu xi
一周年	yi zeu nien
一味	yi wei
一呵而就	yi ho e qiu
一呼百应	yi fu ba yin
一呼百诺	yi fu ba lo
一命之荣	yi miang zi leng
一命呜呼	yi miang wu fu
一命归天	yi miang gui tien
一命归西	yi miang gui xi
一命归阴	yi miang gui yin
一命鸣呼	yi miang miang fu
一品	yi pin
一品堂	yi pin tong
一品夫人	yi pin fu nin
一品白衫	yi pin pa sen
一品红	yi pin feng
一品锅	yi pin wo
一哄而上	yi feng e xiong
一哄而散	yi feng e san
一哄而起	yi feng e qi
一响	yi xiong
一唱一和	yi qiong yi ho
一唱三叹	yi qiong san tan
一唱百和	yi qiong ba ho
一啃	yi kien
一喊出	yi hang qyu
一喊到	yi hang dau
一喝到	yi ho dau
一喷一醒	yi pen yi xiang
一噎止餐	yi yen zi can
一四	yi su
一四五团	yi su ng ton
一回	yi fi
一回回	yi fi fi
一回生	yi fi sang
一团	yi ton
一团乱	yi ton lon
一团乱麻	yi ton lon ma
一团和气	yi ton ho qi
一团漆黑	yi ton qi he
一团糟	yi ton zau
一国三公	yi gue san gung
一国两制	yi gue yong zi
一国之主	yi gue zi jyu
一国之君	yi gue zi jyun
一圈	yi qon
一圈圈	yi qon qon
一场	yi qiong
一场场	yi qiong qiong
一场春梦	yi qiong qyun meng
一场空	yi qiong kung
一场虚惊	yi qiong xyu jin
一坐一起	yi co yi qi
一坐尽倾	yi co qin qin
一坐尽惊	yi co qin jin
一坐皆惊	yi co gai jin
一块	yi kuai
一块儿	yi kuai e
一块块	yi kuai kuai
一块钱	yi kuai qien
一垒	yi lei
一垒手	yi lei seu
一堂	yi tong
一堂课	yi tong ko
一堆	yi dei
一堆堆	yi dei dei
一堵	yi du
一塌刮子	yi ta guai zu
一塌糊涂	yi ta fu tu
一塌胡涂	yi ta fu tu
一墙之隔	yi qiong zi ga
一壁	yi bia
一壁厢	yi bia xiong
一声	yi xiang
一声不吭	yi xiang bei kang
一声不响	yi xiang bei xiong
一声令下	yi xiang lin ha
一声声	yi xiang xiang
一声春雷	yi xiang qyun lei
一壶千金	yi fu qien jin
一壶水	yi fu xyu
一壶酒	yi fu jiu
一处	yi qyu
一处处	yi qyu qyu
一夔一契	yi kui yi qi
一夔已足	yi kui yi zu
一夕	yi xi
一夕一朝	yi xi yi zeu
一夕之间	yi xi zi gan
一多	yi do
一多半	yi do bon
一多数	yi do su
一多等	yi do den
一夜	yi ya
一夜之间	yi ya zi gan
一夜性	yi ya xin
一夜情	yi ya qin
一夜间	yi ya gan
一夜风流	yi ya feng liu
一大	yi tai
一大二公	yi tai e gung
一大半	yi tai bon
一大口	yi tai kieu
一大块	yi tai kuai
一大堆	yi tai dei
一大宗派	yi tai zeng pai
一大家子	yi tai ga zu
一大帮	yi tai bong
一大截	yi tai jie
一大批	yi tai pi
一大排	yi tai pai
一大早	yi tai zau
一大步	yi tai pu
一大笔	yi tai bi
一大笔钱	yi tai bi qien
一大群	yi tai qyun
一大跳	yi tai tieu
一大部分	yi tai pu fen
一天	yi tien
一天一地	yi tien yi ti
一天两天	yi tien yong tien
一天到晚	yi tien dau wan
一天天	yi tien tien
一天星斗	yi tien xin deu
一夫	yi fu
一夫一妻	yi fu yi qi
一夫一妻制	yi fu yi qi zi
一夫之勇	yi fu zi yiung
一夫多妻	yi fu do qi
一夫多妻制	yi fu do qi zi
一夫当关	yi fu dong kuan
一失一得	yi si yi de
一失足成	yi si zu cen
一失足成千古恨	yi si zu cen qien gu hen
一头	yi teu
一头儿	yi teu e
一头儿沉	yi teu e cen
一头则	yi teu ze
一头把	yi teu bai
一头架	yi teu ga
一头沉	yi teu cen
一头热	yi teu nie
一头雾水	yi teu wu xyu
一奇	yi qi
一套	yi tau
一套套	yi tau tau
一女一男	yi nyu yi lang
一奶同胞	yi lai teng bau
一好	yi hau
一好百好	yi hau ba hau
一如	yi lu
一如往昔	yi lu wong xi
一如既往	yi lu ji wong
一妻制	yi qi zi
一妻多夫	yi qi do fu
一子	yi zu
一子一女	yi zu yi nyu
一孔不达	yi kung bei tai
一孔之见	yi kung zi jien
一字一句	yi cu yi jyu
一字一板	yi cu yi ban
一字一泪	yi cu yi li
一字一珠	yi cu yi jyu
一字一顿	yi cu yi den
一字不差	yi cu bei cai
一字不易	yi cu bei ya
一字不漏	yi cu bei leu
一字不苟	yi cu bei gieu
一字之差	yi cu zi cai
一字之师	yi cu zi su
一字之贬	yi cu zi bien
一字兼金	yi cu jien jin
一字千斤	yi cu qien jin
一字千秋	yi cu qien qiu
一字千金	yi cu qien jin
一字千钧	yi cu qien jyun
一字师	yi cu su
一字排开	yi cu pai koi
一字褒贬	yi cu bau bien
一字连城	yi cu lien cen
一字长城	yi cu qiong cen
一季	yi ji
一季度	yi ji tu
一孤之腋	yi gu zi ye
一宗	yi zeng
一官半职	yi guon bon zi
一定	yi tiang
一定不易	yi tiang bei ya
一定不移	yi tiang bei yi
一定之规	yi tiang zi gui
一定量	yi tiang liong
一审	yi sen
一审判决	yi sen pon ko
一室生春	yi si sang qyun
一家	yi ga
一家一户	yi ga yi fu
一家一火	yi ga yi fo
一家一计	yi ga yi ji
一家之主	yi ga zi jyu
一家之作	yi ga zi zo
一家之学	yi ga zi ho
一家之言	yi ga zi nien
一家之计	yi ga zi ji
一家之辞	yi ga zi cu
一家之长	yi ga zi qiong
一家亲	yi ga qiang
一家人	yi ga nin
一家子	yi ga zu
一家家	yi ga ga
一家无二	yi ga wu e
一家村	yi ga qyun
一家独大	yi ga tu tai
一家眷属	yi ga jon xu
一家老小	yi ga lau xieu
一寒如此	yi hon lu cu
一寸	yi ceng
一寸丹心	yi ceng dan xin
一寸光阴一寸金	yi ceng guong yin yi ceng jin
一寸赤心	yi ceng qia xin
一对	yi dei
一对一	yi dei yi
一对二	yi dei e
一对半	yi dei bon
一对对	yi dei dei
一封	yi feng
一封信	yi feng xin
一封封	yi feng feng
一将难求	yi jiong lan qiu
一尊	yi zeng
一小	yi xieu
一小包	yi xieu bau
一小半	yi xieu bon
一小块	yi xieu kuai
一小堆	yi xieu dei
一小撮	yi xieu co
一小撮一小撮	yi xieu co yi xieu co
一小片	yi xieu pien
一小部分	yi xieu pu fen
一少	yi seu
一少部分	yi seu pu fen
一尘不到	yi cen bei dau
一尘不染	yi cen bei len
一尘莫沾	yi cen mo zen
一尝	yi xiong
一尸两命	yi si yong miang
一尺	yi qia
一尾	yi mi
一局	yi qiu
一局上半	yi qiu xiong bon
一局下半	yi qiu ha bon
一屁股债	yi pi gu zai
一层	yi ceng
一层层	yi ceng ceng
一层楼	yi ceng leu
一届	yi kai
一展	yi zen
一展无垠	yi zen wu jin
一展歌喉	yi zen go heu
一展身手	yi zen sen seu
一展长才	yi zen qiong coi
一展风采	yi zen feng coi
一山一水	yi san yi xyu
一山之隔	yi san zi ga
一岁	yi xi
一岁一枯	yi xi yi ku
一岁三迁	yi xi san qien
一岁九迁	yi xi jiu qien
一岁再赦	yi xi zoi xia
一岁载赦	yi xi zoi xia
一岗双责	yi gong song ze
一峰	yi feng
一川	yi qon
一左	yi zo
一左一右	yi zo yi yiu
一差两讹	yi cai yong ngo
一差二误	yi cai e wu
一差二错	yi cai e co
一差半错	yi cai bon co
一己	yi ji
一己之私	yi ji zi su
一己之见	yi ji zi jien
一巴掌	yi ba jiong
一巷	yi hong
一帆顺风	yi fan xyun feng
一帆风顺	yi fan feng xyun
一师	yi su
一帖	yi tie
一带	yi dai
一带而过	yi dai e guo
一席	yi xi
一席之地	yi xi zi ti
一席话	yi xi wa
一席谈	yi xi tan
一帮	yi bong
一帮人	yi bong nin
一幅	yi fu
一幅幅	yi fu fu
一幕	yi mu
一幕幕	yi mu mu
一幢	yi deng
一幢幢	yi deng deng
一干	yi kon
一干二净	yi kon e qin
一干人犯	yi kon nin fan
一平二调	yi piang e tieu
一平方米	yi piang fong mi
一年	yi nien
一年一度	yi nien yi tu
一年之计	yi nien zi ji
一年之计在于春	yi nien zi ji coi yu qyun
一年到头	yi nien dau teu
一年制	yi nien zi
一年半载	yi nien bon zoi
一年四季	yi nien su ji
一年多来	yi nien do loi
一年期	yi nien qi
一年生	yi nien sang
一年生植	yi nien sang zi
一年级	yi nien ji
一年计划	yi nien ji fa
一并	yi bin
一并处理	yi bin qyu li
一床	yi cong
一序列	yi xyu lie
一应	yi yin
一应俱全	yi yin jyu qon
一府两院	yi fu yong yon
一度	yi tu
一座	yi co
一座座	yi co co
一座皆惊	yi co gai jin
一廉如水	yi lien lu xyu
一开	yi koi
一开出	yi koi qyu
一开出来	yi koi qyu loi
一开到	yi koi dau
一式	yi si
一式一样	yi si yi yong
一式两份	yi si yong fen
一弘清泉	yi feng qiang qon
一弛一张	yi ci yi jiong
一张	yi jiong
一张一弛	yi jiong yi ci
一张一驰	yi jiong yi ci
一张白纸	yi jiong pa zi
一弹指	yi tan zi
一弹指顷	yi tan zi qin
一当	yi dong
一彻万融	yi ce wan yiung
一往	yi wong
一往情深	yi wong qin sen
一往无前	yi wong wu qien
一往直前	yi wong ci qien
一往而深	yi wong e sen
一律	yi lyu
一律平等	yi lyu piang den
一得	yi de
一得之功	yi de zi gung
一得之愚	yi de zi yu
一得之见	yi de zi jien
一德一心	yi de yi xin
一心	yi xin
一心一力	yi xin yi li
一心一德	yi xin yi de
一心一意	yi xin yi yi
一心一腹	yi xin yi fu
一心一计	yi xin yi ji
一心一路	yi xin yi lu
一心不乱	yi xin bei lon
一心两用	yi xin yong yiung
一心为公	yi xin wei gung
一心二用	yi xin e yiung
一心同体	yi xin teng ti
一心同功	yi xin teng gung
一心同归	yi xin teng gui
一心向上	yi xin xiong xiong
一心多用	yi xin do yiung
一心无二	yi xin wu e
一忍再忍	yi nin zoi nin
一忙	yi mong
一念	yi nien
一念之差	yi nien zi cai
一念之误	yi nien zi wu
一念之间	yi nien zi gan
一忽儿	yi fei e
一忽见	yi fei jien
一怒之下	yi lu zi ha
一怒而去	yi lu e qie
一息	yi xi
一息奄奄	yi xi yen yen
一息尚存	yi xi xiong ceng
一悲一喜	yi bi yi xi
一想之下	yi xiong zi ha
一意	yi yi
一意孤行	yi yi gu hang
一成	yi cen
一成一旅	yi cen yi lyu
一成不变	yi cen bei bien
一成不易	yi cen bei ya
一战	yi zan
一战之下	yi zan zi ha
一截	yi jie
一截儿	yi jie e
一户	yi fu
一户户	yi fu fu
一房一厅	yi fong yi tiang
一所	yi so
一所所	yi so so
一扇	yi sen
一扇门	yi sen men
一手	yi seu
一手一脚	yi seu yi jio
一手一足	yi seu yi zu
一手交货	yi seu gau fo
一手交钱	yi seu gau qien
一手包办	yi seu bau pan
一手托天	yi seu to tien
一手独拍	yi seu tu pa
一手遮天	yi seu jia tien
一打	yi da
一扫光	yi sau guong
一扫而光	yi sau e guong
一扫而空	yi sau e kung
一扫而过	yi sau e guo
一批	yi pi
一批批	yi pi pi
一技之长	yi ji zi qiong
一把	yi bai
一把子	yi bai zu
一把手	yi bai seu
一把抓	yi bai za
一把死拿	yi bai su la
一把汗	yi bai hon
一抓到底	yi za dau di
一抔黄土	yi leu wong tu
一投手	yi teu seu
一折	yi ze
一抢而光	yi qiong e guong
